year,biocarburante,carbón,gas,hidroeléctrica,nuclear,petróleo,solar,eólica
1965,0,112.811,0.0,54.686,0.0,166.381,0.0,0.0
1966,0,104.368,0.0,75.717,0.0,196.833,0.0,0.0
1967,0,106.066,0.0,62.936,0.0,238.48,0.0,0.0
1968,0,107.368,0.0,67.744,0.231,253.301,0.0,0.0
1969,0,108.043,0.939,85.008,2.303,288.381,0.0,0.0
1970,0,114.137,0.747,77.145,2.564,328.986,0.0,0.0
1971,0,114.707,3.979,88.378,7.008,362.11,0.0,0.0
1972,0,117.475,11.716,98.525,13.197,381.815,0.0,0.0
1973,0,115.056,11.312,80.311,18.181,458.627,0.0,0.0
1974,0,111.439,14.14,84.911,20.064,480.741,0.0,0.0
1975,0,123.499,14.584,72.403,20.956,499.905,0.0,0.0
1976,0,119.615,16.746,58.144,20.986,567.028,0.0,0.0
1977,0,128.128,16.099,110.078,18.122,535.355,0.0,0.0
1978,0,110.113,16.493,111.808,21.247,551.288,0.0,0.0
1979,0,125.499,15.938,128.881,18.611,584.307,0.0,0.0
1980,0,144.666,20.432,82.083,14.406,618.668,0.0,0.0
1981,0,178.462,23.331,60.95,26.578,599.039,0.0,0.0
1982,0,197.768,25.442,73.142,24.364,566.287,0.0,0.0
1983,0,208.014,27.512,75.131,29.614,567.431,0.0,0.0
1984,0,211.48,22.563,87.456,64.128,535.181,0.0,0.0
1985,0,209.084,23.937,86.908,77.9,515.221,0.0,0.0
1986,0,216.667,28.199,73.595,104.05,510.479,0.0,0.0
1987,0,210.201,30.189,76.064,114.642,536.097,0.0,0.0
1988,0,182.382,38.956,97.906,140.183,548.88,0.0,0.0
1989,0,224.831,50.005,53.747,155.906,575.179,0.017,0.036
1990,0.0,223.436,57.794,70.595,150.745,556.6,0.017,0.039
1991,0.0,232.588,65.11,75.783,154.383,568.649,0.019,0.042
1992,0.0,237.299,68.079,52.556,154.95,637.358,0.022,0.286
1993,0.0,213.457,66.78,67.714,155.722,607.893,0.025,0.322
1994,0.0,220.063,73.218,78.278,153.647,638.545,0.028,0.486
1995,0.0,220.586,89.793,64.2,154.042,679.264,0.042,0.75
1996,0.0,186.394,100.49,110.561,156.472,697.584,0.033,1.011
1997,0.0,213.469,131.489,96.606,153.606,724.838,0.036,2.061
1998,0.0,203.42,134.987,94.458,163.87,785.599,0.042,3.756
1999,0.0,227.983,154.525,63.508,163.478,812.929,0.047,7.622
2000,0.825,243.486,176.964,82.139,172.795,823.617,0.05,13.131
2001,0.822,222.924,190.694,113.224,175.818,858.152,0.066,18.653
2002,1.602,251.185,218.034,62.845,172.786,865.242,0.082,25.615
2003,2.208,234.1,248.287,111.846,168.57,885.715,0.112,32.897
2004,2.035,244.8,292.691,85.747,172.182,906.607,0.152,42.5
2005,2.941,238.566,347.02,48.073,154.773,914.422,0.11,56.961
2006,1.948,208.27,363.174,69.203,160.714,920.487,0.318,62.272
2007,1.768,233.03,369.573,72.338,146.367,927.297,1.349,73.228
2008,2.313,157.052,405.922,62.119,155.674,895.166,6.805,86.969
2009,3.573,109.671,363.077,69.135,138.417,839.865,15.916,99.395
2010,16.573,80.212,361.965,109.602,160.649,817.32,18.42,113.893
2011,19.768,148.759,336.461,79.288,149.608,779.997,22.493,109.964
2012,24.414,180.172,332.256,52.919,158.332,729.068,30.821,127.428
2013,10.564,132.547,303.281,94.165,145.246,685.279,33.567,142.777
2014,11.142,135.362,275.239,99.682,145.836,683.491,34.797,132.369
2015,11.411,159.173,285.438,71.188,144.968,706.523,35.059,124.781
2016,12.939,122.07,291.216,91.502,147.415,730.212,34.306,123.009
2017,15.175,156.41,317.121,45.805,145.28,733.986,35.802,122.818
2018,19.522,128.54,314.972,85.333,138.6,748.057,31.674,126.496
2019,19.483,43.519,359.745,55.68,144.307,748.729,37.411,131.46
2020,14.049,20.221,324.134,67.835,143.603,612.686,51.329,131.303
