mes;clics;impresiones;pos_media;dias
2025-05;9469;404674;14.9;16
2025-06;18695;949695;14.0;30
2025-07;14985;539673;17.9;31
2025-08;13213;410251;20.3;31
2025-09;11408;304546;16.2;30
2025-10;11955;337829;10.8;31
2025-11;13442;479166;10.0;30
2025-12;13890;541461;12.0;31
2026-01;14163;372211;13.8;31
2026-02;12400;317086;12.0;28
2026-03;14787;364448;11.4;31
2026-04;12174;251083;12.3;30
2026-05;11264;190947;15.8;31
2026-06;11314;153438;17.6;30
2026-07;11558;141740;17.2;31
2026-08;11141;118597;18.5;31
2026-09;5779;74766;18.0;15
